country,population_group,food_group,subjects,consumers,mean
Austria,Other children,Alcoholic beverages,128 ,43 ,"3,62"
Austria,Other children,Animal and vegetable fats and oils and primary derivatives thereof,128 ,128 ,"26,75"
Austria,Other children,"Coffee, cocoa, tea and infusions",128 ,92 ,"93,90"
Austria,Other children,Composite dishes,128 ,98 ,"81,16"
Austria,Other children,Eggs and egg products,128 ,100 ,"15,64"
Austria,Other children,"Fish, seafood, amphibians, reptiles and invertebrates",128 ,43 ,"16,54"
Austria,Other children,Fruit and fruit products,128 ,110 ,"88,28"
Austria,Other children,Fruit and vegetable juices and nectars (including concentrates),128 ,117 ,"159,55"
Austria,Other children,Grains and grain-based products,128 ,128 ,"277,39"
Austria,Other children,"Legumes, nuts, oilseeds and spices",128 ,120 ,"5,33"
Austria,Other children,"Major isolated ingredients, additives, flavours, baking and processing aids",128 ,9 ,"0,07"
Austria,Other children,Meat and meat products,128 ,126 ,"83,94"
Austria,Other children,Milk and dairy products,128 ,125 ,"298,37"
Austria,Other children,"Products for non-standard diets, food imitates and food supplements",128 ,1 ,"0,09"
Austria,Other children,"Seasoning, sauces and condiments",128 ,125 ,"8,86"
Austria,Other children,"Starchy roots or tubers and products thereof, sugar plants",128 ,79 ,"30,54"
Austria,Other children,"Sugar and similar, confectionery and water-based sweet desserts",128 ,121 ,"33,52"
Austria,Other children,Vegetables and vegetable products,128 ,126 ,"68,12"
Austria,Other children,Water and water-based beverages,128 ,127 ,"674,75"
Austria,Adolescents,Alcoholic beverages,237 ,51 ,"1,90"
Austria,Adolescents,Animal and vegetable fats and oils and primary derivatives thereof,237 ,229 ,"20,26"
Austria,Adolescents,"Coffee, cocoa, tea and infusions",237 ,135 ,"107,23"
Austria,Adolescents,Composite dishes,237 ,203 ,"87,39"
Austria,Adolescents,Eggs and egg products,237 ,164 ,"12,91"
Austria,Adolescents,"Fish, seafood, amphibians, reptiles and invertebrates",237 ,54 ,"11,85"
Austria,Adolescents,Fruit and fruit products,237 ,185 ,"66,20"
Austria,Adolescents,Fruit and vegetable juices and nectars (including concentrates),237 ,174 ,"124,38"
Austria,Adolescents,Grains and grain-based products,237 ,237 ,"247,10"
Austria,Adolescents,"Legumes, nuts, oilseeds and spices",237 ,210 ,"3,02"
Austria,Adolescents,"Major isolated ingredients, additives, flavours, baking and processing aids",237 ,13 ,"0,03"
Austria,Adolescents,Meat and meat products,237 ,227 ,"92,40"
Austria,Adolescents,Milk and dairy products,237 ,232 ,"207,52"
Austria,Adolescents,"Products for non-standard diets, food imitates and food supplements",237 ,3 ,"2,86"
Austria,Adolescents,"Seasoning, sauces and condiments",237 ,227 ,"5,98"
Austria,Adolescents,"Starchy roots or tubers and products thereof, sugar plants",237 ,121 ,"27,08"
Austria,Adolescents,"Sugar and similar, confectionery and water-based sweet desserts",237 ,190 ,"18,08"
Austria,Adolescents,Vegetables and vegetable products,237 ,216 ,"59,22"
Austria,Adolescents,Water and water-based beverages,237 ,231 ,"676,74"
Austria,Adults,Alcoholic beverages,308 ,144 ,"149,51"
Austria,Adults,Animal and vegetable fats and oils and primary derivatives thereof,308 ,263 ,"12,74"
Austria,Adults,"Coffee, cocoa, tea and infusions",308 ,282 ,"455,26"
Austria,Adults,Composite dishes,308 ,290 ,"237,01"
Austria,Adults,Eggs and egg products,308 ,45 ,"5,06"
Austria,Adults,"Fish, seafood, amphibians, reptiles and invertebrates",308 ,64 ,"15,62"
Austria,Adults,Fruit and fruit products,308 ,263 ,"161,57"
Austria,Adults,Fruit and vegetable juices and nectars (including concentrates),308 ,156 ,"110,46"
Austria,Adults,Grains and grain-based products,308 ,306 ,"252,17"
Austria,Adults,"Legumes, nuts, oilseeds and spices",308 ,80 ,"8,06"
